,Title,Company,Company_Rating,Location,Salary,Date,Description
793,"Growth Platform Manager, Food Systems",Ingredion,3.7,"Tlalnepantla, Méx.",,Postedhace 25 días,"Excellent verbal and written communications skills, including the ability to present data and business cases.
 Develops specific plans, priorities and objectives…"
794,Operations Compliance Supervisor,Bacardi,4.1,"Tultitlán, Méx.",,Postedhace 30+ días,The Operations Compliance Supervisor position is an important role to ensure the trade and customs compliance for the company.
795,nuevo empleoQuality Analyst,Consultoría en Sistemas,4.8,"Tlalpan, CDMX","$24,000 - $26,000 al mes",Postedhace 3 días,"Help Coordinate the delivery of infrastructure services (service desk, end user, mobility, network, host and platforms, data center and server rooms, security…"
796,Administrador de Sistemas,Trinity Industries,3.7,"Huehuetoca, Méx.",,Postedhace 30+ días,"Actualmente contamos con 78 plantas a lo largo de los Estados Unidos de Norteamérica, México, Sudamérica y Europa, en las que utilizamos las más estrictos…"
797,Database analyst,IPG MEDIABRANDS,3.7,"Miguel Hidalgo, CDMX","$20,000 - $30,000 al mes",Postedhace 30+ días,"Licenciatura o Ingeniería o carreras afines como: Actuaría, Economía, Matemáticas Aplicada ingeniería con foco en análisis estadístico y Econometría."
798,Head of Digital Acquisition and Adoption,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 25 días,"The Head of Acquisition & Adoption is critical to enable the customer growth and omni-channel engagement strategy, with significant global and cross-business…"
799,Instructor para Bootcamp de Data Science,UTEL Universidad Tecnologica Latinoaméricana,,"Gustavo A. Madero, CDMX","$30,000 - $35,000 al mes",Postedhace 30+ días,Transmitir tu conocimiento en formato teórico y práctico a los estudiantes y acompañarlos en el desarrollo de las habilidades profesionales enfocadas a Data…
800,Software Development QA Analyst I,Weatherford,3.9,"Remoto in Monterrey, N. L.",,Postedhace 24 días,"Executes regression tests, functional tests and data tests.
 Weatherford offers competitive compensation, a comprehensive benefits program and provide you a…"
801,Python Backend Developer,Luxoft,4.4,Remoto,,Postedhace 26 días,"Experience with micro-services, caching tools, data visualization, log collection and aggregation, search, queuing systems.
 Finance experience is not required."
802,Senior Data Engineer (Kafka & Spark),EPAM Systems,3.8,"Durango, Dgo.+18 ubicaciones",,Postedhace 30+ días,"And open source frameworks to implement data ingest, processing, and serving technologies in near real-time basis.
 At least B2 on the common European framework."
803,Accounts Receivable Lead,HH Global,,"11560, Colonia Polanco, CDMX",,Postedhace 30+ días,"Use data and prepare reports to proactively understand the financial status of their accounts.
 The Accounts Receivable Lead will manage the Cash Applications…"
804,Project Management Officer Junior,Accenture,4.0,"Monterrey, N. L.",,Postedhace 30+ días,"Monitor progress on a daily and weekly basis, collect status data from IT and Business Leads, prepare IT Status reports, Attend Status Meetings, Meet with…"
805,Lead Big Data Engineer,EPAM Systems,3.8,"Durango, Dgo.+19 ubicaciones",,Postedhace 30+ días,"Apache Beam as data transformation engine.
 Google Cloud Storage (GCS) as a data store for application artifacts.
 Lead team and provide daily direction."
806,LEGAL ASSISTANT,ATENCION AL CLIENTE Y VENTAS,3.9,"Cuauhtémoc, CDMX",,Postedhace 11 días,"Manage some billing, client services, data entry and general admin work.
 Must have at least three (3) years office admin experience and some knowledge in the…"
807,INGENIERO DE PROCESOS,Belden Inc.,,"Nogales, Son.",,Postedhace 30+ días,"Process monitoring, problem solving and process validation.
 Tools and tooling definition for each product.
 Create and approve ECO's and Deviations."
808,Sourcing Analyst,FieldCore,3.6,+1 ubicaciónRemoto,,Postedhace 30+ días,"Strong analytical skills to include sourcing data assessment, identify problems and propose solutions.
 Supports sourcing data assessments which create Sourcing…"
809,Data Warehouse,Tecnologías y Aplicaciones México,,"Guadalajara, Jal.","$45,000 - $55,000 al mes",EmployerActivo hace 26 días,"Conocimiento práctico de Collibra (workflow, cataloging, Api integration).
 Programación de Python en Pyspark interface.
 4 días libres al año."
810,nuevo empleoMachine Learning Engineer,International Flavors & Fragrances,3.8,"Colonia Polanco, CDMX",,Postedhace 4 días,"Design and conducts training sessions on tools, data sources, and architecture.
 Develop MLOps (Machine Learning Operations) workflows for data preparation,…"
811,Pharmacovigilance Associate - English advanced,IQVIA,3.8,Remoto,,Postedhace 30+ días,"Review, assess and process Safety data and information, across service lines, received from various sources and distribute reports/data onwards to both internal…"
812,Quality Engineer,Motus Integrated Technologies,3.6,"Arteaga, Coah.+1 ubicación",,Postedhace 13 días,"Continuously review and ensure compliance of data provided by hourly quality technicians in order to achieve quality objectives.
 Earns trust of co-workers."
813,nuevo empleoAccounts Receivables Specialist,SoftwareONE,3.7,"11000, Colonia Lomas de Chapultepec, CDMX",,Postedhace 4 días,"Investigate historical data for each debt or bill.
 Monitor accounts to identify outstanding debts.
 Find and contact clients to ask about their overdue payments."
814,nuevo empleoQA Automation Engineer,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,"Overall QA Experience – 5+ Years.
 3+ Years of Framework - POM.
 API Testing Experience - Selenium Scripts / PostMan.
 Good Problem Solving / Critical Thinking."
815,nuevo empleoUX/UI Designer,PALO IT,,"Miguel Hidalgo, CDMX",,EmployerActivo hace 3 días,"Es posible que debas prestar ayuda o ser orador en conferencias internacionales de TI.
 Realizar auditorías de experiencia de usuario, revisiones y evaluaciones…"
816,Senior Data Engineer,Apptegy,,"Monterrey, N. L.",,Postedhace 24 días,"Support our software developers, database architects, data analysts and data scientists on data initiatives, and will ensure optimal data delivery architecture…"
817,"Counsel, Global Investigations",Flowserve Corporation,3.7,"Santa Clara, Méx.",,Postedhace 30+ días,"Advanced skills in collecting and analyzing complex data, analyzing and evaluating information, and drawing logical conclusions."
818,IT Data Analyst,Intuitive,,"Mexicali, B.C.",,Postedhace 30+ días,"Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources;"
819,nuevo empleoERP HCM Analyst (REMOTE),WPP IT,,"Remoto in Guadalajara, Jal.",,PostedHoy,"Support data requests and maintenance including rescind, correct and EIBs.
 Maintain expertise on data standards/functionality/features/capabilities in Workday…"
820,Ejecutivo de Atraccion Comercial-3,Prudential,3.8,"Colonia Santa Fe, CDMX",,Postedhace 30+ días,Responsibilities include following up on sales calls answering product questions providing performance data and identifying new sales opportunities.
821,Customer Service Representative,Motorola Solutions,4.1,Remoto,,Postedhace 30+ días,And in everyday moments — when a package arrives just in time for the holiday or when a child doesn’t miss the school bus home.
822,Manufacturing Engineer,Chamberlain Group Inc,3.7,"Nogales, Son.",,Postedhace 20 días,"Collects data from manufacturing processes related to time studies, layouts, etc.
 To support, improve and implement manufacturing processes considering tools,…"
823,Product Information Enrichment Specialist *REMOTE*,MSC Industrial Supply Co.,,Remoto,,Postedhace 20 días,"Reviews and analyzes product information data structures to normalize data inconsistencies.
 Becomes familiar with basic data collection and analysis tools for…"
